"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"narH",1818.04319181271,-2.38237977954352,0.107722113240655,-22.1159770067005,2.21852988952707e-108,1.61874838781458e-106
"ansB",11645.9747440807,-3.46334823579584,0.156893541270441,-22.0745112115609,5.55617934838829e-108,3.98416377757705e-106
"ampC",1157.63789440035,-2.08305949806049,0.0952394849191167,-21.8718055838873,4.82114171816917e-106,3.39849633997721e-104
"narK",1854.71070501939,-3.48719640211816,0.159683548655399,-21.8381695013782,1.00709960559223e-105,6.98087876609678e-104
"yceA",2086.71459639292,3.26920817332705,0.151470920595497,21.583074562922,2.59056163497322e-103,1.76625341636945e-101
"yfcZ",8373.73332000782,-2.6147564980204,0.123546987046216,-21.1640652721242,2.04782549432502e-99,1.37369455337061e-97
"napA",8190.62411855799,-3.23023115475007,0.153028090373746,-21.1087464194369,6.61027899821708e-99,4.36383338945791e-97
"ccmB",1168.36160848744,-2.80233914552847,0.133443604476397,-21.0001757410872,6.53434134541081e-98,4.24630088368181e-96
"hypE",3951.4412030892,-2.53174758076889,0.120646013176677,-20.9849253539886,9.00643463870937e-98,5.76273256344497e-96
"nrdG",755.4563077875,-3.13553208481672,0.149772301749555,-20.9353268140317,2.55308266496423e-97,1.60882890963428e-95
"nrdD",11183.6932882665,-3.09918290648915,0.148803219224312,-20.8273915218012,2.4441503951123e-96,1.5171972378018e-94
"tdcA",640.760171780782,-3.79344316298043,0.182204039525999,-20.8197533537073,2.86657132055102e-96,1.75324560620172e-94
"tdcD",765.485407587521,-2.64700423284212,0.127277483656507,-20.7971131797811,4.59655110427687e-96,2.77058783227355e-94
"iscR",4977.90551779779,2.48555839132196,0.119694557166855,20.7658430772009,8.81665932263363e-96,5.23835516040475e-94
"ybjM",720.31500669451,-2.35949329668168,0.114208905875963,-20.6594510172806,8.0271700491662e-95,4.702112709082e-93
"dadX",1373.40770682345,1.981174380389,0.0961530069515566,20.6043933850883,2.50640112167524e-94,1.44779475903435e-92
"mqo",3474.73901700491,2.75400110682342,0.133813595752687,20.5808766391223,4.07249709801039e-94,2.32020759323633e-92
"pflA",6272.30975152892,-1.83454334465455,0.0892699315482788,-20.5505181065631,7.6146194886283e-94,4.27962195313583e-92
"ykgE",368.229281403733,-3.64216284315277,0.177574969648576,-20.5105643569061,1.73272266568246e-93,9.60852475543115e-92
"dadA",1713.59324992326,2.07520934522509,0.101297040120349,20.4863769243362,2.84816166184245e-93,1.55861899363194e-91
"yqeI",762.272159607923,-2.19904434665822,0.107485304326341,-20.4590233096573,4.99284509689756e-93,2.69678477376584e-91
"citB",1335.64527802644,-2.30291057701154,0.112631851356894,-20.4463528679321,6.47382466710724e-93,3.45187651160243e-91
"napG",2412.26839734479,-3.01756918940433,0.148131673421699,-20.3708573575211,3.0332106835518e-92,1.59685104213822e-90
"hybA",1682.06920209854,-3.17822838151684,0.157172679288881,-20.2212521660671,6.36470302052747e-91,3.30884998279672e-89
"aegA",1568.47964327901,-2.44246320481244,0.121175888718279,-20.156346535992,2.36729646527118e-90,1.21550444432875e-88
"hycA",327.554716339507,-5.19327785397683,0.258046889435118,-20.1253263131568,4.42847140996711e-90,2.24609909683576e-88
"ompW",3108.61063620037,-4.38805441447338,0.218632221043328,-20.0704836347235,1.33697252412306e-89,6.69935991304556e-88
"yncD",865.106256890418,2.68814139360076,0.136257524681634,19.7283885780371,1.23029877356803e-86,6.09144357055883e-85
"yjdO",259.457558874099,-3.24352238803259,0.164638231539576,-19.7009063915565,2.11794351911037e-86,1.03629730540942e-84
"gatC",1103.83935613604,-3.32587062586824,0.169239526637005,-19.6518549298579,5.57382208265893e-86,2.69552628392773e-84
"dcuA",16543.5564733295,-1.48915514999923,0.0760980506224742,-19.5689000942611,2.84760985767254e-85,1.36128843655863e-83
"ccmA",3273.97769727855,-2.52924498805914,0.129913057066347,-19.4687512184972,2.02139457702e-84,9.55338641571156e-83
"nmpC",1526.64314005982,-2.20674332590553,0.113774533165433,-19.3957581236288,8.3808112673776e-84,3.91638135517117e-82
"ccmC",1774.16858890888,-2.55191259856728,0.131829312006772,-19.3577024693582,1.75541876089175e-83,8.11198514060977e-82
"rbsA",9222.19997326946,-1.98805077721215,0.103071806296901,-19.2880172438767,6.77210917948253e-83,3.09507715137009e-81
"tnpA",1657.17224934283,-1.99231065949082,0.10428672486336,-19.1041636613021,2.33132980911695e-81,1.05391311696928e-79
"hybB",1146.27015763995,-2.94179757738428,0.154984866069753,-18.9811924995328,2.43994754197921e-80,1.09115503517113e-78
"flhD",770.5082580902,-2.46643398281695,0.130664877939904,-18.8760286750609,1.79592779627131e-79,7.94602521775783e-78
"ccmE",826.721039423295,-2.9096824556663,0.154248363311439,-18.863619640433,2.27125385422799e-79,9.94331029445706e-78
"bssR",1046.36600857675,-3.21682633675703,0.171378758210653,-18.7702745097675,1.32200615861658e-78,5.72731626425661e-77
"viaA",3450.55449970665,-1.63178585651642,0.0876419543981428,-18.6187753082672,2.26331183361903e-77,9.70424115053768e-76
"malG",1857.07993301417,-1.54757680133726,0.0834258587405449,-18.5503250994424,8.10602532665316e-77,3.44009789117862e-75
"yqgA",891.647273697213,-2.14861131217918,0.116425061217096,-18.4548866860606,4.76363162663389e-76,2.00120645809801e-74
"yaaJ",1419.66498667681,-1.73443923880674,0.094315272873159,-18.3898024781132,1.58556580115047e-75,6.5943681669848e-74
"glpX",6354.85902415036,-1.72121983250107,0.0936561551895047,-18.3780748741856,1.96830954154759e-75,8.1051479042539e-74
"abrB",1364.10776224295,-2.2094123606256,0.121038821846373,-18.2537497219683,1.93182767220396e-74,7.87693263597674e-73
"pykA",17509.1316896406,-1.70516503270014,0.0936877268360334,-18.2005166555532,5.1123334606146e-74,2.06429076336855e-72
"dcuB",1119.14721035124,-2.87836182002849,0.158829818119832,-18.1223013040086,2.1251721249307e-73,8.49864506498729e-72
"nikR",1470.30983311688,-1.77768046090841,0.0986225161233126,-18.025097419799,1.23793820549878e-72,4.9034142825423e-71
"ydhY",332.224125876298,-5.57472236494443,0.310798771328841,-17.9367580544457,6.09064525304975e-72,2.3897163780598e-70
"pfkA",52035.1557553319,-1.74796071638733,0.0979225737694628,-17.850436820651,2.86784483706127e-71,1.11470716610634e-69
"malT",12342.2219627334,-1.59777210693414,0.090031340255875,-17.746843514638,1.82317563504431e-70,7.0209143205086e-69
"ptsG",38857.5736715769,-1.45178837337718,0.0820675431033656,-17.6901649358337,4.99290672364467e-70,1.90509165721451e-68
"treC",828.100166153174,-1.78795309600575,0.101273028597376,-17.654780554791,9.34963560999487e-70,3.5350122274517e-68
"nrfA",1654.47354191097,-2.71867580130159,0.15628143601094,-17.396025213841,8.84302501612752e-68,3.31334603982652e-66
"tdcC",1303.69698219129,-2.28566986714846,0.131966821835297,-17.320034197695,3.32160305567494e-67,1.23344170612072e-65
"isrB",473.035858016239,2.83081169003954,0.163986903350558,17.26242542667,9.02396457853266e-67,3.32129811346171e-65
"sdhA",1250.42940907252,1.62502271196315,0.0945270116826726,17.1910936676846,3.09635944251171e-66,1.12962797556195e-64
"ydhV",494.783951538253,-4.08092801278869,0.237633688452673,-17.1731880246494,4.2161377901931e-66,1.52477539734027e-64
"narJ",1015.87473389571,-1.77744609101828,0.104795046070924,-16.9611652235482,1.59156693984211e-64,5.7063162955201e-63
"ykgF",571.125449026979,-2.33057150658482,0.137453766057846,-16.9553121273085,1.75825179785482e-64,6.25005916861384e-63
"fumB",1410.10611465054,-2.46741992086272,0.145534183097895,-16.9542293661895,1.79094141226498e-64,6.31230960475428e-63
"fruA",40907.6444669025,-1.7968662198295,0.106567161873737,-16.861350046635,8.65884148612697e-64,3.02622871771446e-62
"hcr",544.36806499438,-3.1267827614149,0.186902465133867,-16.729489143845,7.99208257745565e-63,2.76992261996984e-61
"yehU",684.940856144828,-1.72626596539639,0.103517090243173,-16.6761445993236,1.95431879708057e-62,6.71736518765133e-61
"ynaJ",2347.15588026026,1.87806778923007,0.113001863358846,16.6197948724626,5.01037632286017e-62,1.70804550219471e-60
"fhlA",1558.57439829033,-1.92279320364601,0.116433718044794,-16.5140582636576,2.90662698246171e-61,9.82818017890913e-60
"menD",4393.92203650408,-1.60223895256379,0.097277737920957,-16.4707669689615,5.95110644272994e-61,1.99602029800918e-59
"kgtP",17858.2651514707,1.83414274268565,0.111657282782657,16.4265392903735,1.23509405573284e-60,4.1094049422343e-59
"ysaA",2248.07996728699,-1.93985624374536,0.118347258724512,-16.3912224469935,2.20956045013143e-60,7.2933031048386e-59
"yfeX",6997.69145775057,-1.22380830750386,0.0747705881690289,-16.367509437498,3.2629601494555e-60,1.06855521744767e-58
"ydcI",438.739842413596,3.08623514370551,0.18914999607151,16.3163373396991,7.55336851322677e-60,2.45425465988361e-58
"ycbJ",1128.36489000478,-2.17754585597212,0.134075942781646,-16.2411377521949,2.5809257721188e-59,8.32098471801713e-58
"betT",2492.0828996153,1.41252565558092,0.0875835992724319,16.1277415785027,1.62868121380503e-58,5.21052705247318e-57
"hycB",184.293320866247,-4.99614670062633,0.310195077561299,-16.1064667431385,2.29783964500867e-58,7.2952023538863e-57
"adhE",77252.7112512809,-3.3420477964116,0.207683801973692,-16.092000265071,2.90304557204007e-58,9.14679282887474e-57
"moaC",2177.02989532063,-1.43546794633057,0.0892678433879308,-16.080459568094,3.49774569721576e-58,1.09376874847521e-56
"hycC",370.3090078984,-3.13502136152436,0.195224732106792,-16.0585256165671,4.98254456480311e-58,1.54644797350867e-56
"arcA",33913.1626386502,-1.30077749260548,0.0815527143271601,-15.9501434542967,2.84243252288468e-57,8.75679767605731e-56
"rihA",1657.16054613906,-1.8829275574996,0.11816308201102,-15.9349902309081,3.62257332501187e-57,1.10781488667091e-55
